Tiempo astronómico	Energía	Momento angular
2.21	-0.000111355	-0.00081759
2.22	-0.000111355	-0.00081759
2.23	-0.000111355	-0.00081759
2.24	-0.000111355	-0.00081759
2.25	-0.000111355	-0.00081759
2.26	-0.000111355	-0.00081759
2.27	-0.000111355	-0.00081759
2.28	-0.000111355	-0.00081759
2.29	-0.000111355	-0.00081759
2.3	-0.000111355	-0.00081759
2.31	-0.000111355	-0.00081759
2.32	-0.000111355	-0.00081759
2.33	-0.000111355	-0.00081759
2.34	-0.000111355	-0.00081759
2.35	-0.000111355	-0.00081759
2.36	-0.000111355	-0.00081759
2.37	-0.000111355	-0.00081759
2.38	-0.000111355	-0.00081759
2.39	-0.000111355	-0.00081759
2.4	-0.000111355	-0.00081759
2.41	-0.000111355	-0.00081759
2.42	-0.000111354	-0.00081759
2.43	-0.000111354	-0.00081759
2.44	-0.000111354	-0.00081759
2.45	-0.000111354	-0.00081759
2.46	-0.000111354	-0.00081759
2.47	-0.000111354	-0.00081759
2.48	-0.000111354	-0.00081759
2.49	-0.000111354	-0.00081759
2.5	-0.000111354	-0.00081759
2.51	-0.000111354	-0.00081759
2.52	-0.000111354	-0.00081759
2.53	-0.000111354	-0.00081759
2.54	-0.000111354	-0.00081759
2.55	-0.000111354	-0.00081759
2.56	-0.000111354	-0.00081759
2.57	-0.000111354	-0.00081759
2.58	-0.000111354	-0.00081759
2.59	-0.000111354	-0.00081759
2.6	-0.000111354	-0.00081759
2.61	-0.000111354	-0.00081759
2.62	-0.000111354	-0.00081759
2.63	-0.000111354	-0.00081759
2.64	-0.000111354	-0.00081759
2.65	-0.000111354	-0.00081759
2.66	-0.000111353	-0.00081759
2.67	-0.000111353	-0.00081759
2.68	-0.000111353	-0.00081759
2.69	-0.000111353	-0.00081759
2.7	-0.000111353	-0.00081759
2.71	-0.000111353	-0.00081759
2.72	-0.000111353	-0.00081759
2.73	-0.000111353	-0.00081759
2.74	-0.000111353	-0.00081759
2.75	-0.000111353	-0.00081759
2.76	-0.000111353	-0.00081759
2.77	-0.000111353	-0.00081759
2.78	-0.000111353	-0.00081759
2.79	-0.000111353	-0.00081759
2.8	-0.000111353	-0.00081759
2.81	-0.000111353	-0.00081759
2.82	-0.000111353	-0.00081759
2.83	-0.000111353	-0.00081759
2.84	-0.000111353	-0.00081759
2.85	-0.000111353	-0.00081759
2.86	-0.000111353	-0.00081759
2.87	-0.000111353	-0.00081759
2.88	-0.000111353	-0.00081759
2.89	-0.000111353	-0.00081759
2.9	-0.000111352	-0.00081759
2.91	-0.000111352	-0.00081759
2.92	-0.000111352	-0.00081759
2.93	-0.000111352	-0.00081759
2.94	-0.000111352	-0.00081759
2.95	-0.000111352	-0.00081759
2.96	-0.000111352	-0.00081759
2.97	-0.000111352	-0.00081759
2.98	-0.000111352	-0.00081759
2.99	-0.000111352	-0.00081759
3	-0.000111352	-0.00081759
3.01	-0.000111352	-0.00081759
3.02	-0.000111352	-0.00081759
3.03	-0.000111352	-0.00081759
3.04	-0.000111352	-0.00081759
3.05	-0.000111352	-0.00081759
3.06	-0.000111352	-0.00081759
3.07	-0.000111352	-0.00081759
3.08	-0.000111352	-0.00081759
3.09	-0.000111352	-0.00081759
3.1	-0.000111352	-0.00081759
3.11	-0.000111352	-0.00081759
3.12	-0.000111352	-0.00081759
3.13	-0.000111351	-0.00081759
3.14	-0.000111351	-0.00081759
3.15	-0.000111351	-0.00081759
3.16	-0.000111351	-0.00081759
3.17	-0.000111351	-0.00081759
3.18	-0.000111351	-0.00081759
3.19	-0.000111351	-0.00081759
3.2	-0.000111351	-0.00081759
3.21	-0.000111351	-0.00081759
3.22	-0.000111351	-0.00081759
3.23	-0.000111351	-0.00081759
3.24	-0.000111351	-0.00081759
3.25	-0.000111351	-0.00081759
3.26	-0.000111351	-0.00081759
3.27	-0.000111351	-0.00081759
3.28	-0.000111351	-0.00081759
3.29	-0.000111351	-0.00081759
3.3	-0.000111351	-0.00081759
3.31	-0.000111351	-0.00081759
3.32	-0.000111351	-0.00081759
3.33	-0.000111351	-0.00081759
3.34	-0.000111351	-0.00081759
3.35	-0.000111351	-0.00081759
3.36	-0.00011135	-0.00081759
3.37	-0.00011135	-0.00081759
3.38	-0.00011135	-0.00081759
3.39	-0.00011135	-0.00081759
3.4	-0.00011135	-0.00081759
3.41	-0.00011135	-0.00081759
3.42	-0.00011135	-0.00081759
3.43	-0.00011135	-0.00081759
3.44	-0.00011135	-0.00081759
3.45	-0.00011135	-0.00081759
3.46	-0.00011135	-0.00081759
3.47	-0.00011135	-0.00081759
3.48	-0.00011135	-0.00081759
3.49	-0.00011135	-0.00081759
3.5	-0.00011135	-0.00081759
