Tiempo astronómico	Energía	Momento angular
3.04	-0.000111283	0.00355091
3.05	-0.000111283	0.00355091
3.06	-0.000111283	0.00355091
3.07	-0.000111283	0.00355091
3.08	-0.000111283	0.00355091
3.09	-0.000111283	0.00355091
3.1	-0.000111283	0.00355091
3.11	-0.000111283	0.00355091
3.12	-0.000111283	0.00355091
3.13	-0.000111283	0.00355091
3.14	-0.000111283	0.00355091
3.15	-0.000111283	0.00355091
3.16	-0.000111283	0.00355091
3.17	-0.000111283	0.00355091
3.18	-0.000111283	0.00355091
3.19	-0.000111283	0.00355091
3.2	-0.000111283	0.00355091
3.21	-0.000111283	0.00355091
3.22	-0.000111283	0.00355091
3.23	-0.000111283	0.00355091
3.24	-0.000111283	0.00355091
3.25	-0.000111283	0.00355091
3.26	-0.000111283	0.00355091
3.27	-0.000111283	0.00355091
3.28	-0.000111283	0.00355091
3.29	-0.000111283	0.00355091
3.3	-0.000111283	0.00355091
3.31	-0.000111283	0.00355091
3.32	-0.000111283	0.00355091
3.33	-0.000111283	0.00355091
3.34	-0.000111283	0.00355091
3.35	-0.000111283	0.00355091
3.36	-0.000111283	0.00355091
3.37	-0.000111283	0.00355091
3.38	-0.000111283	0.00355091
3.39	-0.000111283	0.00355091
3.4	-0.000111283	0.00355091
3.41	-0.000111283	0.00355091
3.42	-0.000111283	0.00355091
3.43	-0.000111283	0.00355091
3.44	-0.000111283	0.00355091
3.45	-0.000111283	0.00355091
3.46	-0.000111283	0.00355091
3.47	-0.000111283	0.00355091
3.48	-0.000111283	0.00355091
3.49	-0.000111283	0.00355091
3.5	-0.000111283	0.00355091
3.51	-0.000111283	0.00355091
3.52	-0.000111283	0.00355091
3.53	-0.000111283	0.00355091
3.54	-0.000111283	0.00355091
3.55	-0.000111283	0.00355091
3.56	-0.000111283	0.00355091
3.57	-0.000111283	0.00355091
3.58	-0.000111283	0.00355091
3.59	-0.000111283	0.00355091
3.6	-0.000111283	0.00355091
3.61	-0.000111283	0.00355091
3.62	-0.000111283	0.00355091
3.63	-0.000111283	0.00355091
3.64	-0.000111283	0.00355091
3.65	-0.000111283	0.00355091
3.66	-0.000111283	0.00355091
3.67	-0.000111283	0.00355091
3.68	-0.000111283	0.00355091
3.69	-0.000111283	0.00355091
3.7	-0.000111283	0.00355091
3.71	-0.000111283	0.00355091
3.72	-0.000111283	0.00355091
3.73	-0.000111283	0.00355091
3.74	-0.000111283	0.00355091
3.75	-0.000111283	0.00355091
3.76	-0.000111283	0.00355091
3.77	-0.000111283	0.00355091
3.78	-0.000111283	0.00355091
3.79	-0.000111283	0.00355091
3.8	-0.000111283	0.00355091
3.81	-0.000111283	0.00355091
3.82	-0.000111283	0.00355091
3.83	-0.000111283	0.00355091
3.84	-0.000111282	0.00355091
3.85	-0.000111282	0.00355091
3.86	-0.000111282	0.00355091
3.87	-0.000111282	0.00355091
3.88	-0.000111282	0.00355091
3.89	-0.000111282	0.00355091
3.9	-0.000111282	0.00355091
3.91	-0.000111282	0.00355091
3.92	-0.000111282	0.00355091
3.93	-0.000111282	0.00355091
3.94	-0.000111282	0.00355091
3.95	-0.000111282	0.00355091
3.96	-0.000111282	0.00355091
3.97	-0.000111282	0.00355091
3.98	-0.000111282	0.00355091
3.99	-0.000111282	0.00355091
4	-0.000111282	0.00355091
4.01	-0.000111282	0.00355091
4.02	-0.000111282	0.00355091
4.03	-0.000111282	0.00355091
4.04	-0.000111282	0.00355091
4.05	-0.000111282	0.00355091
4.06	-0.000111282	0.00355091
4.07	-0.000111282	0.00355091
4.08	-0.000111282	0.00355091
4.09	-0.000111282	0.00355091
4.1	-0.000111282	0.00355091
4.11	-0.000111282	0.00355091
4.12	-0.000111282	0.00355091
4.13	-0.000111282	0.00355091
4.14	-0.000111282	0.00355091
4.15	-0.000111282	0.00355091
4.16	-0.000111282	0.00355091
4.17	-0.000111282	0.00355091
4.18	-0.000111282	0.00355091
4.19	-0.000111282	0.00355091
4.2	-0.000111282	0.00355091
4.21	-0.000111282	0.00355091
4.22	-0.000111282	0.00355091
4.23	-0.000111282	0.00355091
4.24	-0.000111282	0.00355091
4.25	-0.000111282	0.00355091
4.26	-0.000111282	0.00355091
4.27	-0.000111282	0.00355091
4.28	-0.000111282	0.00355091
4.29	-0.000111282	0.00355091
4.3	-0.000111282	0.00355091
4.31	-0.000111282	0.00355091
4.32	-0.000111282	0.00355091
4.33	-0.000111282	0.00355091
4.34	-0.000111282	0.00355091
4.35	-0.000111282	0.00355091
4.36	-0.000111282	0.00355091
4.37	-0.000111282	0.00355091
4.38	-0.000111282	0.00355091
4.39	-0.000111282	0.00355091
4.4	-0.000111282	0.00355091
4.41	-0.000111282	0.00355091
4.42	-0.000111282	0.00355091
4.43	-0.000111282	0.00355091
4.44	-0.000111282	0.00355091
4.45	-0.000111282	0.00355091
4.46	-0.000111282	0.00355091
4.47	-0.000111282	0.00355091
4.48	-0.000111282	0.00355091
4.49	-0.000111282	0.00355091
4.5	-0.000111282	0.00355091
4.51	-0.000111281	0.00355091
4.52	-0.000111281	0.00355091
4.53	-0.000111281	0.00355091
4.54	-0.000111281	0.00355091
4.55	-0.000111281	0.00355091
4.56	-0.000111281	0.00355091
4.57	-0.000111281	0.00355091
4.58	-0.000111281	0.00355091
4.59	-0.000111281	0.00355091
4.6	-0.000111281	0.00355091
4.61	-0.000111281	0.00355091
4.62	-0.000111281	0.00355091
4.63	-0.000111281	0.00355091
4.64	-0.000111281	0.00355091
4.65	-0.000111281	0.00355091
4.66	-0.000111281	0.00355091
4.67	-0.000111281	0.00355091
4.68	-0.000111281	0.00355091
4.69	-0.000111281	0.00355091
4.7	-0.000111281	0.00355091
4.71	-0.000111281	0.00355091
4.72	-0.000111281	0.00355091
4.73	-0.000111281	0.00355091
4.74	-0.000111281	0.00355091
4.75	-0.000111281	0.00355091
4.76	-0.000111281	0.00355091
4.77	-0.000111281	0.00355091
4.78	-0.000111281	0.00355091
4.79	-0.000111281	0.00355091
4.8	-0.000111281	0.00355091
4.81	-0.000111281	0.00355091
4.82	-0.000111281	0.00355091
4.83	-0.000111281	0.00355091
4.84	-0.000111281	0.00355091
4.85	-0.000111281	0.00355091
4.86	-0.000111281	0.00355091
4.87	-0.000111281	0.00355091
4.88	-0.000111281	0.00355091
4.89	-0.000111281	0.00355091
4.9	-0.000111281	0.00355091
4.91	-0.000111281	0.00355091
4.92	-0.000111281	0.00355091
4.93	-0.000111281	0.00355091
4.94	-0.000111281	0.00355091
4.95	-0.000111281	0.00355091
4.96	-0.000111281	0.00355091
4.97	-0.000111281	0.00355091
4.98	-0.000111281	0.00355091
4.99	-0.000111281	0.00355091
5	-0.000111281	0.00355091
5.01	-0.000111281	0.00355091
5.02	-0.000111281	0.00355091
5.03	-0.000111281	0.00355091
5.04	-0.000111281	0.00355091
5.05	-0.000111281	0.00355091
5.06	-0.000111281	0.00355091
5.07	-0.000111281	0.00355091
5.08	-0.000111281	0.00355091
5.09	-0.000111281	0.00355091
5.1	-0.000111281	0.00355091
5.11	-0.00011128	0.00355091
5.12	-0.00011128	0.00355091
5.13	-0.00011128	0.00355091
5.14	-0.00011128	0.00355091
5.15	-0.00011128	0.00355091
5.16	-0.00011128	0.00355091
5.17	-0.00011128	0.00355091
5.18	-0.00011128	0.00355091
5.19	-0.00011128	0.00355091
5.2	-0.00011128	0.00355091
5.21	-0.00011128	0.00355091
5.22	-0.00011128	0.00355091
5.23	-0.00011128	0.00355091
5.24	-0.00011128	0.00355091
5.25	-0.00011128	0.00355091
5.26	-0.00011128	0.00355091
5.27	-0.00011128	0.00355091
5.28	-0.00011128	0.00355091
5.29	-0.00011128	0.00355091
5.3	-0.00011128	0.00355091
5.31	-0.00011128	0.00355091
5.32	-0.00011128	0.00355091
